   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     3.00      2.10    750.00      20.3    1095.9    1093.4    2209.6
     3.00      2.20    750.00      21.5    1148.0    1145.5    2315.0
     3.00      2.30    750.00      22.7    1200.2    1197.6    2420.5
     3.00      2.40    750.00      23.9    1252.4    1249.6    2526.0
     3.00      2.50    750.00      25.2    1304.6    1301.7    2631.5
     3.00      2.60    750.00      26.5    1356.8    1353.8    2737.0
     3.00      2.70    750.00      27.7    1409.0    1405.8    2842.6
     3.00      2.80    750.00      29.0    1461.1    1457.9    2948.1
     3.00      2.90    750.00      30.3    1513.3    1510.0    3053.6
     3.00      3.00    750.00      31.7    1565.5    1562.0    3159.2
     3.00      1.00    800.00       8.6     521.8     520.7    1051.1
     3.00      1.10    800.00       9.6     574.0     572.7    1156.4
     3.00      1.20    800.00      10.7     626.2     624.8    1261.8
     3.00      1.30    800.00      11.9     678.4     676.9    1367.1
     3.00      1.40    800.00      13.0     730.6     729.0    1472.6
     3.00      1.50    800.00      14.2     782.8     781.0    1578.0
     3.00      1.60    800.00      15.4     834.9     833.1    1683.4
     3.00      1.70    800.00      16.6     887.1     885.2    1788.9
     3.00      1.80    800.00      17.8     939.3     937.2    1894.4
     3.00      1.90    800.00      19.1     991.5     989.3    1999.9
     3.00      2.00    800.00      20.3    1043.7    1041.4    2105.4
     3.00      2.10    800.00      21.6    1095.9    1093.4    2210.9
     3.00      2.20    800.00      22.9    1148.0    1145.5    2316.5
     3.00      2.30    800.00      24.2    1200.2    1197.6    2422.0
     3.00      2.40    800.00      25.5    1252.4    1249.6    2527.6
     3.00      2.50    800.00      26.9    1304.6    1301.7    2633.2
     3.00      2.60    800.00      28.2    1356.8    1353.8    2738.8
     3.00      2.70    800.00      29.6    1409.0    1405.8    2844.4
     3.00      2.80    800.00      31.0    1461.1    1457.9    2950.0
     3.00      2.90    800.00      32.4    1513.3    1510.0    3055.7
     3.00      3.00    800.00      33.8    1565.5    1562.0    3161.3
     4.00      1.00    500.00       5.3     695.8     520.7    1221.8
     4.00      1.10    500.00       6.0     765.4     572.7    1344.1
     4.00      1.20    500.00       6.7     834.9     624.8    1466.5
     4.00      1.30    500.00       7.4     904.5     676.9    1588.8
     4.00      1.40    500.00       8.1     974.1     729.0    1711.2
     4.00      1.50    500.00       8.9    1043.7     781.0    1833.6
     4.00      1.60    500.00       9.6    1113.3     833.1    1956.0
     4.00      1.70    500.00      10.4    1182.8     885.2    2078.4
     4.00      1.80    500.00      11.1    1252.4     937.2    2200.8
     4.00      1.90    500.00      11.9    1322.0     989.3    2323.2
     4.00      2.00    500.00      12.7    1391.6    1041.4    2445.6
     4.00      2.10    500.00      13.5    1461.1    1093.4    2568.1
     4.00      2.20    500.00      14.3    1530.7    1145.5    2690.5
     4.00      2.30    500.00      15.1    1600.3    1197.6    2813.0
     4.00      2.40    500.00      16.0    1669.9    1249.6    2935.5
     4.00      2.50    500.00      16.8    1739.5    1301.7    3058.0
     4.00      2.60    500.00      17.6    1809.0    1353.8    3180.5
     4.00      2.70    500.00      18.5    1878.6    1405.8    3303.0
     4.00      2.80    500.00      19.4    1948.2    1457.9    3425.5
     4.00      2.90    500.00      20.2    2017.8    1510.0    3548.0
     4.00      3.00    500.00      21.1    2087.4    1562.0    3670.5
     4.00      1.00    550.00       5.9     695.8     520.7    1222.3
     4.00      1.10    550.00       6.6     765.4     572.7    1344.7
     4.00      1.20    550.00       7.4     834.9     624.8    1467.1
     4.00      1.30    550.00       8.2     904.5     676.9    1589.6
     4.00      1.40    550.00       9.0     974.1     729.0    1712.0
     4.00      1.50    550.00       9.8    1043.7     781.0    1834.5
     4.00      1.60    550.00      10.6    1113.3     833.1    1956.9
     4.00      1.70    550.00      11.4    1182.8     885.2    2079.4
     4.00      1.80    550.00      12.3    1252.4     937.2    2201.9
     4.00      1.90    550.00      13.1    1322.0     989.3    2324.4
     4.00      2.00    550.00      14.0    1391.6    1041.4    2446.9
     4.00      2.10    550.00      14.9    1461.1    1093.4    2569.4
     4.00      2.20    550.00      15.8    1530.7    1145.5    2692.0
     4.00      2.30    550.00      16.7    1600.3    1197.6    2814.5
     4.00      2.40    550.00      17.6    1669.9    1249.6    2937.1
     4.00      2.50    550.00      18.5    1739.5    1301.7    3059.6
     4.00      2.60    550.00      19.4    1809.0    1353.8    3182.2
     4.00      2.70    550.00      20.3    1878.6    1405.8    3304.8
     4.00      2.80    550.00      21.3    1948.2    1457.9    3427.4
     4.00      2.90    550.00      22.3    2017.8    1510.0    3550.0
     4.00      3.00    550.00      23.2    2087.4    1562.0    3672.6
     4.00      1.00    600.00       6.4     695.8     520.7    1222.9
     4.00      1.10    600.00       7.2     765.4     572.7    1345.3
     4.00      1.20    600.00       8.1     834.9     624.8    1467.8
     4.00      1.30    600.00       8.9     904.5     676.9    1590.3
     4.00      1.40    600.00       9.8     974.1     729.0    1712.8
     4.00      1.50    600.00      10.6    1043.7     781.0    1835.3
     4.00      1.60    600.00      11.5    1113.3     833.1    1957.9
     4.00      1.70    600.00      12.5    1182.8     885.2    2080.4
     4.00      1.80    600.00      13.4    1252.4     937.2    2203.0
     4.00      1.90    600.00      14.3    1322.0     989.3    2325.6
     4.00      2.00    600.00      15.3    1391.6    1041.4    2448.2
     4.00      2.10    600.00      16.2    1461.1    1093.4    2570.8
     4.00      2.20    600.00      17.2    1530.7    1145.5    2693.4
     4.00      2.30    600.00      18.2    1600.3    1197.6    2816.0
     4.00      2.40    600.00      19.2    1669.9    1249.6    2938.7
     4.00      2.50    600.00      20.2    1739.5    1301.7    3061.3
     4.00      2.60    600.00      21.2    1809.0    1353.8    3184.0
     4.00      2.70    600.00      22.2    1878.6    1405.8    3306.7
     4.00      2.80    600.00      23.2    1948.2    1457.9    3429.3
     4.00      2.90    600.00      24.3    2017.8    1510.0    3552.0
     4.00      3.00    600.00      25.3    2087.4    1562.0    3674.7
     4.00      1.00    650.00       6.9     695.8     520.7    1223.4
     4.00      1.10    650.00       7.8     765.4     572.7    1345.9
     4.00      1.20    650.00       8.7     834.9     624.8    1468.5
     4.00      1.30    650.00       9.6     904.5     676.9    1591.1
     4.00      1.40    650.00      10.6     974.1     729.0    1713.6
     4.00      1.50    650.00      11.5    1043.7     781.0    1836.2
     4.00      1.60    650.00      12.5    1113.3     833.1    1958.8
     4.00      1.70    650.00      13.5    1182.8     885.2    2081.5
     4.00      1.80    650.00      14.5    1252.4     937.2    2204.1
     4.00      1.90    650.00      15.5    1322.0     989.3    2326.8
     4.00      2.00    650.00      16.5    1391.6    1041.4    2449.5
     4.00      2.10    650.00      17.6    1461.1    1093.4    2572.1
     4.00      2.20    650.00      18.6    1530.7    1145.5    2694.8
     4.00      2.30    650.00      19.7    1600.3    1197.6    2817.6
     4.00      2.40    650.00      20.8    1669.9    1249.6    2940.3
     4.00      2.50    650.00      21.8    1739.5    1301.7    3063.0
     4.00      2.60    650.00      22.9    1809.0    1353.8    3185.8
     4.00      2.70    650.00      24.0    1878.6    1405.8    3308.5
     4.00      2.80    650.00      25.2    1948.2    1457.9    3431.3
     4.00      2.90    650.00      26.3    2017.8    1510.0    3554.0
     4.00      3.00    650.00      27.4    2087.4    1562.0    3676.8
     4.00      1.00    700.00       7.5     695.8     520.7    1223.9
     4.00      1.10    700.00       8.4     765.4     572.7    1346.5
     4.00      1.20    700.00       9.4     834.9     624.8    1469.2
     4.00      1.30    700.00      10.4     904.5     676.9    1591.8
     4.00      1.40    700.00      11.4     974.1     729.0    1714.4
     4.00      1.50    700.00      12.4    1043.7     781.0    1837.1
     4.00      1.60    700.00      13.5    1113.3     833.1    1959.8
     4.00      1.70    700.00      14.5    1182.8     885.2    2082.5
     4.00      1.80    700.00      15.6    1252.4     937.2    2205.2
     4.00      1.90    700.00      16.7    1322.0     989.3    2328.0
