     SPEED            =  1.000  Knots 
     BREADTH          =   19.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  161
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
       5.3910       4.3750       3.5280       2.8310       2.2450       1.7320       1.3160       0.9480       0.6510       0.0510       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      26.0800      28.6590      34.2370      38.2800      42.0830      47.2530      51.9120      56.5660      61.1870      56.2810      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      65.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000       0.0000
       5.5070       4.0210       3.0290       2.2770       1.6990       1.2430       0.8900       0.6230       0.4230       0.0120       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      13.1270      22.2910      31.2190      37.9070      42.6100      51.2210      58.5150      62.7360      70.6700      87.7100      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      60.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.6240       2.9540       2.0540       1.4450       1.0170       0.7050       0.4790       0.3350       0.0500       0.0180       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      12.7700      25.5780      36.4860      46.5380      52.8500      62.8960      71.9210      75.2190      85.5900      87.0470      88.8780      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      55.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.2070       2.2640       1.4860       1.0090       0.6830       0.4570       0.3110       0.1150       0.0540       0.0180       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
       8.1550      23.1630      40.6460      50.5500      62.2680      70.5260      76.3720      81.7100      84.6470      87.0360      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      50.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.1800       1.9480       1.2540       0.8390       0.5530       0.3580       0.2050       0.1100       0.0470       0.0130       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
       6.2870      26.8030      43.1110      55.6670      67.1380      71.8840      77.6920      81.0980      84.6690      87.3570      89.3400      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      45.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.1550       2.0010       1.2980       0.8730       0.5840       0.3790       0.2280       0.1220       0.0600       0.0200       0.0040       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
       6.0420      27.2710      41.5750      57.1110      63.3580      70.6300      75.8610      78.5660      83.5150      88.1840      88.0920      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      40.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.2140       2.5590       1.8030       1.3060       0.9510       0.6830       0.4880       0.3340       0.2210       0.1330       0.0710       0.0270       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
       9.8000      27.2350      39.2520      50.3680      58.4760      65.8120      68.6960      74.0590      78.5350      81.6690      82.6350      85.7980      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      35.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       4.7450       3.2920       2.5520       2.0580       1.6860       1.3900       1.1480       0.9410       0.7520       0.5960       0.4590       0.3380       0.2320       0.1350       0.0390       0.0000       0.0000       0.0000
      11.8780      29.6630      42.5920      49.3090      57.3340      62.9610      65.4130      69.0840      71.9090      74.6280      74.6280      77.0090      78.3740      79.1740      79.1740      90.0000      90.0000      90.0000
      30.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.2920       4.0680       3.3090       2.8040       2.4270       2.1510       1.9170       1.7180       1.5380       1.3690       1.2060       1.0450       0.8850       0.7310       0.5730       0.4210       0.2570       0.0000
      15.0730      27.8430      37.8410      49.5320      58.7910      64.9300      68.2950      68.4760      70.0990      71.9940      71.9940      72.1940      72.1940      72.9040      72.2200      73.1640      68.0270      90.0000
      25.0000       0.0000
       9.0000       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
